name;model_type;AUROC;train_time;target;Fingerprint type;poses;interactions;cvtype;preprocessing;postprocessing
LightGBM, Stacked;LightGBM;0.9923130193905816;4.29;Adenine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, SelectedFeatures, Stacked;Extra Trees;0.9926333333333331;5.46;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures, Stacked;LightGBM;0.9927285318559558;3.59;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
CatBoost, SelectedFeatures;CatBoost;0.9931082981715892;3.59;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees, SelectedFeatures;Extra Trees;0.9932671081677704;4.68;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
LightGBM;LightGBM;0.9933518005540166;3.71;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
RandomForest, Stacked;Random Forest;0.9935302390998596;7.1;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;Stacked
LightGBM, Stacked;LightGBM;0.9937086092715232;5.73;Guanine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, SelectedFeatures, Stacked;Extra Trees;0.9942334739803096;6.52;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures, Stacked;LightGBM;0.9944444444444444;4.67;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
CatBoost, SelectedFeatures;CatBoost;0.9945983379501384;3.39;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees, Stacked;Extra Trees;0.994690576652602;8.11;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;Stacked
CatBoost;CatBoost;0.9947368421052633;6.72;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
RandomForest;Random Forest;0.9948663853727144;6.49;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
ExtraTrees, Stacked;Extra Trees;0.9953311258278146;8.93;Guanine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
CatBoost;CatBoost;0.9954666666666668;11.33;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
ExtraTrees, SelectedFeatures, Stacked;Extra Trees;0.9957615894039736;5.94;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest, SelectedFeatures;Random Forest;0.9962728551336146;4.43;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees, SelectedFeatures;Extra Trees;0.9962728551336146;6.9;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
CatBoost;CatBoost;0.9963431786216596;7.55;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost;Xgboost;0.996814404432133;3.72;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
ExtraTrees;Extra Trees;0.9975386779184248;6.97;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost, SelectedFeatures, Stacked;CatBoost;0.9976793248945148;4.05;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
ExtraTrees;Extra Trees;0.9984072022160664;7.46;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost, Stacked;CatBoost;0.999168975069252;7.2;Adenine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
Naive Bayes;;0.5;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.8927555555555554;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.8402666666666667;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=5);;0.8489333333333334;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.9709333333333332;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5603111111111111;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.6093333333333333;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.5346666666666667;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Naive Bayes;;0.5;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.6839986666666666;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.6848273333333332;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=5);;0.7345091111111112;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.8428984444444445;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5516672222222222;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.5580622222222222;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.5147792222222222;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Naive Bayes;;0.5;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.822722111111111;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.9055202222222224;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
