score,method,desc,type
0.7113590263691684,Random Forest,1UUD,one
0.7782961460446247,Random Forest,1UUD,one
0.6559959349593496,Random Forest,1UUD,one
0.8349898580121704,Random Forest,1UUD,one
0.8036511156186612,Random Forest,1UUD,one
0.589329268292683,Random Forest,1UUD,one
0.6912778904665314,Random Forest,1UUD,one
0.7512170385395538,Random Forest,1UUD,one
0.770630081300813,Random Forest,1UUD,one
0.8165314401622719,Random Forest,1UUD,one
0.7880324543610547,Random Forest,1UUD,one
0.7175813008130081,Random Forest,1UUD,one
0.7527383367139959,Random Forest,1UUD,one
0.6410750507099392,Random Forest,1UUD,one
0.7136178861788618,Random Forest,1UUD,one
0.8387423935091278,CatBoost,1UUI,one
0.7425963488843813,CatBoost,1UUI,one
0.7609756097560976,CatBoost,1UUI,one
0.7855983772819474,CatBoost,1UUI,one
0.793103448275862,CatBoost,1UUI,one
0.7288617886178862,CatBoost,1UUI,one
0.8831643002028398,CatBoost,1UUI,one
0.7870182555780934,CatBoost,1UUI,one
0.7459349593495936,CatBoost,1UUI,one
0.6503042596348885,CatBoost,1UUI,one
0.8087221095334686,CatBoost,1UUI,one
0.7973577235772358,CatBoost,1UUI,one
0.7474645030425964,CatBoost,1UUI,one
0.8257606490872211,CatBoost,1UUI,one
0.8365853658536585,CatBoost,1UUI,one
0.7042596348884381,CatBoost,1UUI,one
0.8553752535496957,CatBoost,1UUI,one
0.7788617886178861,CatBoost,1UUI,one
0.8079107505070995,CatBoost,1UUI,one
0.7636916835699796,CatBoost,1UUI,one
0.8652439024390244,CatBoost,1UUI,one
0.7947261663286004,CatBoost,1UUI,one
0.7288032454361055,CatBoost,1UUI,one
0.8254065040650407,CatBoost,1UUI,one
0.778498985801217,CatBoost,1UUI,one
0.7223123732251521,CatBoost,1UUI,one
0.7534552845528455,CatBoost,1UUI,one
0.8590263691683571,CatBoost,1UUI,one
0.797971602434077,CatBoost,1UUI,one
0.7995934959349593,CatBoost,1UUI,one
0.7255578093306289,kNN,1UUI,one
0.579107505070994,kNN,1UUI,one
0.5213414634146343,kNN,1UUI,one
0.7178498985801217,kNN,1UUI,one
0.6251521298174442,kNN,1UUI,one
0.6258130081300813,kNN,1UUI,one
0.6722109533468559,kNN,1UUI,one
0.5665314401622717,kNN,1UUI,one
0.7245934959349594,kNN,1UUI,one
0.7187626774847871,kNN,1UUI,one
0.5707910750507098,kNN,1UUI,one
0.4796747967479675,kNN,1UUI,one
0.6313387423935092,kNN,1UUI,one
0.6258620689655172,kNN,1UUI,one
0.6727642276422764,kNN,1UUI,one
0.6178498985801217,kNN,1UUI,one
0.5247464503042596,kNN,1UUI,one
0.4684959349593496,kNN,1UUI,one
0.5253549695740365,kNN,1UUI,one
0.6760649087221094,kNN,1UUI,one
0.620630081300813,kNN,1UUI,one
0.6718052738336714,kNN,1UUI,one
0.5675456389452331,kNN,1UUI,one
0.6161585365853658,kNN,1UUI,one
0.626977687626775,kNN,1UUI,one
0.6213995943204867,kNN,1UUI,one
0.5745934959349593,kNN,1UUI,one
0.5231237322515213,kNN,1UUI,one
0.6202839756592292,kNN,1UUI,one
0.6685975609756096,kNN,1UUI,one
0.7418864097363083,Random Forest,1UUI,one
0.8002028397565922,Random Forest,1UUI,one
0.8364837398373983,Random Forest,1UUI,one
0.713184584178499,Random Forest,1UUI,one
0.6430020283975659,Random Forest,1UUI,one
0.883739837398374,Random Forest,1UUI,one
0.8192697768762677,Random Forest,1UUI,one
0.6473630831643002,Random Forest,1UUI,one
0.7685975609756097,Random Forest,1UUI,one
0.6385395537525355,Random Forest,1UUI,one
0.895131845841785,Random Forest,1UUI,one
0.7983739837398374,Random Forest,1UUI,one
0.6276876267748478,Random Forest,1UUI,one
0.613184584178499,Random Forest,1UUI,one
0.8421747967479676,Random Forest,1UUI,one
0.7537525354969574,Random Forest,1UUI,one
0.9032454361054767,Random Forest,1UUI,one
0.7533536585365854,Random Forest,1UUI,one
0.8442190669371197,Random Forest,1UUI,one
0.6772819472616632,Random Forest,1UUI,one
0.6600609756097561,Random Forest,1UUI,one
0.860446247464503,Random Forest,1UUI,one
0.7962474645030425,Random Forest,1UUI,one
0.7602642276422764,Random Forest,1UUI,one
0.7351926977687626,Random Forest,1UUI,one
0.8178498985801217,Random Forest,1UUI,one
0.8120934959349594,Random Forest,1UUI,one
0.6853955375253549,Random Forest,1UUI,one
0.7524340770791075,Random Forest,1UUI,one
0.6951219512195121,Random Forest,1UUI,one
0.8091277890466532,CatBoost,2L8H,one
0.7127789046653145,CatBoost,2L8H,one
0.6861788617886179,CatBoost,2L8H,one
0.860446247464503,CatBoost,2L8H,one
0.6221095334685598,CatBoost,2L8H,one
